Energy CP 	 ICP 	 Energy CN 	 ICN 	 FLH 	 FLV 	 IXMCD 	 FXMCD 	 IXMCDR 	 FXMCDR 
625.304521	 0.146953	 625.089493	 0.151355	 0.000000	 0.000000	 -0.004402	 0.000000	 -0.014755	 nan
625.537234	 0.147727	 625.337586	 0.151966	 0.000000	 0.000000	 -0.004238	 0.000000	 -0.014143	 nan
625.741194	 0.148591	 625.520243	 0.152787	 0.000000	 0.000000	 -0.004196	 0.000000	 -0.013924	 nan
625.958572	 0.149424	 625.723433	 0.153706	 0.000000	 0.000000	 -0.004282	 0.000000	 -0.014125	 nan
626.156358	 0.150146	 625.941917	 0.154542	 0.000000	 0.000000	 -0.004396	 0.000000	 -0.014428	 nan
626.353372	 0.151059	 626.143364	 0.155307	 0.000000	 0.000000	 -0.004248	 0.000000	 -0.013865	 nan
626.547192	 0.151952	 626.342700	 0.156158	 0.000000	 0.000000	 -0.004206	 0.000000	 -0.013650	 nan
626.741444	 0.152846	 626.534767	 0.157137	 0.000000	 0.000000	 -0.004291	 0.000000	 -0.013842	 nan
626.934829	 0.153574	 626.729596	 0.158027	 0.000000	 0.000000	 -0.004453	 0.000000	 -0.014290	 nan
627.116208	 0.154498	 626.920955	 0.158795	 0.000000	 0.000000	 -0.004297	 0.000000	 -0.013717	 nan
627.287450	 0.155546	 627.101519	 0.159796	 0.000000	 0.000000	 -0.004250	 0.000000	 -0.013478	 nan
627.478875	 0.156666	 627.278683	 0.160784	 0.000000	 0.000000	 -0.004119	 0.000000	 -0.012975	 nan
627.682965	 0.157794	 627.467632	 0.161896	 0.000000	 0.000000	 -0.004102	 0.000000	 -0.012831	 nan
627.887501	 0.158994	 627.668027	 0.162943	 0.000000	 0.000000	 -0.003949	 0.000000	 -0.012268	 nan
628.072353	 0.160292	 627.868189	 0.164265	 0.000000	 0.000000	 -0.003973	 0.000000	 -0.012240	 nan
628.259702	 0.161787	 628.058435	 0.165558	 0.000000	 0.000000	 -0.003771	 0.000000	 -0.011520	 nan
628.467630	 0.163240	 628.256185	 0.167000	 0.000000	 0.000000	 -0.003760	 0.000000	 -0.011387	 nan
628.672988	 0.164818	 628.458296	 0.168342	 0.000000	 0.000000	 -0.003524	 0.000000	 -0.010576	 nan
628.867508	 0.166487	 628.658009	 0.170006	 0.000000	 0.000000	 -0.003519	 0.000000	 -0.010457	 nan
629.050989	 0.168170	 628.852656	 0.171668	 0.000000	 0.000000	 -0.003498	 0.000000	 -0.010293	 nan
629.236249	 0.169898	 629.036762	 0.173359	 0.000000	 0.000000	 -0.003461	 0.000000	 -0.010082	 nan
629.430706	 0.171742	 629.228432	 0.175003	 0.000000	 0.000000	 -0.003261	 0.000000	 -0.009404	 nan
