Energy CP 	 ICP 	 Energy CN 	 ICN 	 FLH 	 FLV 	 IXMCD 	 FXMCD 	 IXMCDR 	 FXMCDR 
625.269637	 0.022075	 625.086642	 0.021972	 0.774521	 0.769383	 0.000103	 0.005137	 0.002331	 0.003327
625.512511	 0.022365	 625.323976	 0.022235	 0.773900	 0.769433	 0.000130	 0.004467	 0.002921	 0.002895
625.711987	 0.022650	 625.514355	 0.022525	 0.773870	 0.770435	 0.000125	 0.003435	 0.002770	 0.002224
625.925544	 0.022986	 625.714996	 0.022797	 0.777713	 0.777194	 0.000189	 0.000519	 0.004122	 0.000334
626.121968	 0.023285	 625.923233	 0.023129	 0.777134	 0.773502	 0.000156	 0.003632	 0.003359	 0.002342
626.303019	 0.023628	 626.127535	 0.023470	 0.774812	 0.772125	 0.000158	 0.002687	 0.003349	 0.001737
626.484263	 0.023949	 626.308367	 0.023786	 0.775327	 0.772524	 0.000162	 0.002803	 0.003403	 0.001811
626.678299	 0.024357	 626.487958	 0.024120	 0.779952	 0.779514	 0.000237	 0.000438	 0.004895	 0.000281
626.869942	 0.024704	 626.680742	 0.024463	 0.780202	 0.776425	 0.000241	 0.003777	 0.004903	 0.002426
627.064035	 0.025145	 626.871984	 0.024878	 0.778448	 0.774452	 0.000267	 0.003996	 0.005332	 0.002574
627.255192	 0.025587	 627.063162	 0.025282	 0.778685	 0.776475	 0.000305	 0.002210	 0.005996	 0.001421
627.457566	 0.026070	 627.253781	 0.025759	 0.781303	 0.779502	 0.000311	 0.001801	 0.005992	 0.001154
627.666546	 0.026591	 627.461011	 0.026248	 0.780934	 0.779715	 0.000343	 0.001220	 0.006492	 0.000781
627.879219	 0.027167	 627.665407	 0.026776	 0.781019	 0.777672	 0.000391	 0.003346	 0.007252	 0.002147
628.072715	 0.027713	 627.880421	 0.027322	 0.779861	 0.779043	 0.000391	 0.000818	 0.007102	 0.000525
628.260651	 0.028322	 628.073694	 0.027899	 0.783166	 0.781090	 0.000423	 0.002077	 0.007526	 0.001327
628.456408	 0.028941	 628.266814	 0.028463	 0.785668	 0.784146	 0.000478	 0.001522	 0.008327	 0.000969
628.647232	 0.029622	 628.460953	 0.029125	 0.781657	 0.780545	 0.000497	 0.001112	 0.008457	 0.000712
628.839029	 0.030309	 628.651963	 0.029826	 0.782796	 0.779468	 0.000483	 0.003327	 0.008036	 0.002130
629.018295	 0.031010	 628.841868	 0.030542	 0.785763	 0.779880	 0.000468	 0.005883	 0.007596	 0.003757
629.197255	 0.031783	 629.019646	 0.031199	 0.787339	 0.786054	 0.000584	 0.001285	 0.009277	 0.000817
629.391238	 0.032628	 629.205659	 0.031980	 0.783829	 0.781150	 0.000648	 0.002679	 0.010023	 0.001712
629.581041	 0.033488	 629.392232	 0.032834	 0.783373	 0.781756	 0.000654	 0.001618	 0.009857	 0.001034
629.769735	 0.034379	 629.567377	 0.033743	 0.788124	 0.780537	 0.000636	 0.007587	 0.009337	 0.004837
629.958359	 0.035256	 629.776483	 0.034612	 0.786673	 0.786554	 0.000645	 0.000119	 0.009226	 0.000076
630.132591	 0.036315	 629.942010	 0.035535	 0.784523	 0.783671	 0.000780	 0.000852	 0.010852	 0.000543
630.342611	 0.037429	 630.133140	 0.036595	 0.784243	 0.782999	 0.000834	 0.001244	 0.011269	 0.000794
630.525448	 0.038515	 630.329510	 0.037654	 0.785981	 0.783045	 0.000861	 0.002936	 0.011300	 0.001871
630.721786	 0.039586	 630.524413	 0.038745	 0.788397	 0.786785	 0.000841	 0.001612	 0.010733	 0.001024
630.900388	 0.040781	 630.724566	 0.039879	 0.786340	 0.783839	 0.000902	 0.002501	 0.011183	 0.001593
631.093774	 0.042137	 630.890086	 0.041119	 0.784643	 0.783788	 0.001018	 0.000855	 0.012223	 0.000545
631.268036	 0.043536	 631.081377	 0.042449	 0.783787	 0.783515	 0.001087	 0.000273	 0.012645	 0.000174
631.467198	 0.045057	 631.273191	 0.043812	 0.783446	 0.788144	 0.001245	 -0.004698	 0.014012	 -0.002989
631.669536	 0.046597	 631.470538	 0.045332	 0.789242	 0.784864	 0.001265	 0.004378	 0.013762	 0.002781
631.855824	 0.048371	 631.676660	 0.046945	 0.785657	 0.782957	 0.001426	 0.002700	 0.014961	 0.001721
632.063835	 0.050371	 631.860994	 0.048775	 0.786438	 0.783512	 0.001595	 0.002926	 0.016091	 0.001864
632.264544	 0.052415	 632.064313	 0.050695	 0.785232	 0.786544	 0.001720	 -0.001312	 0.016685	 -0.000835
632.460904	 0.054501	 632.264978	 0.052798	 0.789400	 0.783616	 0.001703	 0.005784	 0.015872	 0.003677
632.662776	 0.056734	 632.463806	 0.054916	 0.788393	 0.784627	 0.001818	 0.003766	 0.016280	 0.002394
632.839222	 0.059325	 632.664402	 0.057254	 0.788359	 0.784690	 0.002070	 0.003669	 0.017758	 0.002332
633.037170	 0.062106	 632.838884	 0.059754	 0.786927	 0.789916	 0.002352	 -0.002989	 0.019303	 -0.001896
633.232724	 0.065003	 633.046211	 0.062580	 0.786424	 0.784648	 0.002423	 0.001775	 0.018991	 0.001130
633.415803	 0.068062	 633.241772	 0.065524	 0.791870	 0.784861	 0.002539	 0.007009	 0.019004	 0.004445
633.625656	 0.071622	 633.409242	 0.068649	 0.789296	 0.784025	 0.002974	 0.005271	 0.021201	 0.003350
633.810290	 0.075468	 633.626470	 0.072146	 0.788408	 0.788535	 0.003322	 -0.000127	 0.022505	 -0.000081
634.011638	 0.079563	 633.820551	 0.076012	 0.788854	 0.787742	 0.003552	 0.001112	 0.022829	 0.000705
634.201453	 0.083796	 634.018513	 0.080179	 0.792876	 0.786691	 0.003617	 0.006185	 0.022060	 0.003915
634.391931	 0.088717	 634.210398	 0.084565	 0.790077	 0.787538	 0.004152	 0.002540	 0.023963	 0.001610
634.614145	 0.094275	 634.402215	 0.089500	 0.790083	 0.789469	 0.004774	 0.000614	 0.025979	 0.000389
634.795163	 0.100527	 634.615567	 0.095073	 0.790395	 0.788903	 0.005453	 0.001492	 0.027880	 0.000945
