Q 	 ICP 	  ICN 	 IXMCDR  
2.47361e-05	 2.1292e-11	 2.124e-11	 5.2e-14	 0.00122261
0.000846708	 1.7153e-12	 1.6864e-12	 2.89e-14	 0.00849575
0.00169375	 3.2464e-12	 3.1245e-12	 1.219e-13	 0.0191339
0.00254078	 4.5415e-12	 4.3428e-12	 1.987e-13	 0.0223653
0.00338779	 5.639e-12	 5.2802e-12	 3.588e-13	 0.0328596
0.00423478	 6.4965e-12	 5.9725e-12	 5.24e-13	 0.0420242
0.00508174	 7.136e-12	 6.4526e-12	 6.834e-13	 0.0502922
0.00592844	 7.5998e-12	 6.7108e-12	 8.89e-13	 0.0621218
0.00677533	 7.8696e-12	 6.7909e-12	 1.0787e-12	 0.0735787
0.00762216	 8.0199e-12	 6.7383e-12	 1.2816e-12	 0.0868399
0.00846895	 8.0061e-12	 6.5311e-12	 1.475e-12	 0.101464
0.00931568	 7.8483e-12	 6.1906e-12	 1.6577e-12	 0.118079
0.0101623	 7.5831e-12	 5.7609e-12	 1.8222e-12	 0.136556
0.0110089	 7.2207e-12	 5.255e-12	 1.9657e-12	 0.157562
0.0118555	 6.7687e-12	 4.6907e-12	 2.078e-12	 0.181336
0.0127019	 6.2393e-12	 4.0977e-12	 2.1416e-12	 0.207178
0.0135482	 5.7173e-12	 3.5382e-12	 2.1791e-12	 0.235438
0.0143945	 5.1681e-12	 3.0055e-12	 2.1626e-12	 0.264584
0.0152407	 4.6279e-12	 2.5282e-12	 2.0997e-12	 0.293414
0.0160867	 4.1439e-12	 2.1471e-12	 1.9968e-12	 0.317406
0.0169327	 3.6854e-12	 1.8377e-12	 1.8477e-12	 0.33454
0.0177785	 3.2548e-12	 1.6036e-12	 1.6512e-12	 0.339865
0.0186242	 2.8557e-12	 1.3778e-12	 1.4779e-12	 0.349096
0.0194698	 2.4771e-12	 1.1662e-12	 1.3109e-12	 0.359811
0.0203152	 2.1166e-12	 9.5492e-13	 1.16168e-12	 0.37821
0.0211605	 1.7781e-12	 7.5552e-13	 1.02258e-12	 0.403604
0.0220057	 1.4916e-12	 5.8251e-13	 9.0909e-13	 0.438304
