Temperature 	 Sum 	  Maxval 	 R 
418.85	 3.1819e+09	 3472	 1
419.16	 3.18363e+09	 4208	 0.748677
419.39	 3.18328e+09	 4146	 0.750484
419.48	 3.18421e+09	 3816	 0.746559
419.5	 3.1828e+09	 4763	 0.750123
419.42	 3.18354e+09	 3641	 0.750656
419.32	 3.1826e+09	 4385	 0.749442
419.16	 3.18329e+09	 3956	 0.751327
419.03	 3.18227e+09	 4189	 0.75075
418.85	 3.18415e+09	 3849	 0.751675
418.71	 3.18287e+09	 4175	 0.750441
418.53	 3.18304e+09	 4007	 0.751399
418.36	 3.18386e+09	 3787	 0.750374
418.23	 3.18259e+09	 3978	 0.751372
418.06	 3.1813e+09	 4343	 0.750652
417.9	 3.17886e+09	 4288	 0.750063
417.79	 3.18137e+09	 4290	 0.751078
416.57	 3.18096e+09	 4017	 0.748979
416.46	 3.18253e+09	 4352	 0.748429
416.31	 3.18233e+09	 4313	 0.747233
416.2	 3.18006e+09	 4597	 0.748105
416.05	 3.18021e+09	 4830	 0.74699
415.94	 3.18161e+09	 4788	 0.746865
415.79	 3.18023e+09	 4488	 0.746576
415.64	 3.17988e+09	 4153	 0.745719
415.53	 3.18016e+09	 4496	 0.745425
415.38	 3.18049e+09	 4440	 0.746026
415.27	 3.18057e+09	 4653	 0.746092
415.12	 3.1806e+09	 4056	 0.744736
414.98	 3.18036e+09	 4523	 0.746327
414.86	 3.18206e+09	 4624	 0.744978
414.72	 3.1817e+09	 4257	 0.744943
414.61	 3.18117e+09	 5052	 0.744148
414.46	 3.18309e+09	 4964	 0.743553
414.31	 3.17931e+09	 4657	 0.743352
414.2	 3.18121e+09	 5059	 0.741467
414.06	 3.18258e+09	 4424	 0.739609
413.91	 3.18098e+09	 5095	 0.740914
413.8	 3.18025e+09	 4792	 0.739408
413.65	 3.18089e+09	 4534	 0.73845
413.55	 3.18174e+09	 4603	 0.738167
413.4	 3.18316e+09	 5371	 0.737372
413.29	 3.18281e+09	 4773	 0.737821
413.15	 3.18215e+09	 4790	 0.738522
413	 3.18193e+09	 4583	 0.736402
412.89	 3.18139e+09	 4590	 0.735848
412.75	 3.18051e+09	 5134	 0.7377
412.6	 3.18062e+09	 4552	 0.736483
412.49	 3.18016e+09	 4924	 0.734835
412.35	 3.17955e+09	 4637	 0.733893
412.24	 3.17828e+09	 4535	 0.733472
