Temperature 	 Sum 	  Maxval 	 R 
368.76	 3.17206e+09	 2991	 1
369.09	 3.17338e+09	 2890	 0.744498
369.34	 3.17273e+09	 2902	 0.744265
369.67	 3.1734e+09	 2676	 0.746637
370	 3.17258e+09	 2972	 0.74408
370.26	 3.17428e+09	 2888	 0.745886
370.59	 3.17361e+09	 2872	 0.744219
370.84	 3.17335e+09	 2735	 0.745073
371.17	 3.1756e+09	 2937	 0.744576
371.5	 3.17489e+09	 3003	 0.743936
371.75	 3.17597e+09	 3303	 0.744137
372.09	 3.1754e+09	 3157	 0.744986
372.33	 3.17567e+09	 2964	 0.744323
372.67	 3.17645e+09	 3442	 0.744594
373	 3.17567e+09	 3332	 0.743843
373.25	 3.17451e+09	 3229	 0.742388
373.58	 3.17426e+09	 3293	 0.743065
373.83	 3.17356e+09	 3204	 0.741632
376.33	 3.17501e+09	 3017	 0.744694
376.66	 3.17605e+09	 3523	 0.740258
376.99	 3.17722e+09	 3355	 0.741905
377.24	 3.17664e+09	 3133	 0.741732
377.58	 3.17585e+09	 3654	 0.742617
377.83	 3.17535e+09	 3193	 0.742881
378.16	 3.17737e+09	 3508	 0.742057
378.49	 3.17819e+09	 3394	 0.742762
378.74	 3.1767e+09	 3380	 0.742305
379.07	 3.17814e+09	 3556	 0.743084
379.32	 3.17648e+09	 3000	 0.742503
379.66	 3.17612e+09	 3563	 0.742711
379.99	 3.17421e+09	 3109	 0.741945
380.24	 3.17588e+09	 3401	 0.743274
380.57	 3.17571e+09	 3501	 0.743352
380.82	 3.17707e+09	 3883	 0.741452
381.16	 3.1738e+09	 3095	 0.74318
381.49	 3.17454e+09	 3211	 0.742805
381.74	 3.17618e+09	 3235	 0.743529
382.07	 3.17714e+09	 3289	 0.744153
382.32	 3.17644e+09	 3130	 0.742487
382.65	 3.17546e+09	 3120	 0.743264
382.99	 3.1762e+09	 3473	 0.741956
383.24	 3.17548e+09	 3560	 0.743105
383.57	 3.17591e+09	 2829	 0.743556
383.82	 3.17317e+09	 2855	 0.743498
384.15	 3.1717e+09	 3323	 0.742444
384.49	 3.17151e+09	 3315	 0.741721
384.73	 3.17342e+09	 3278	 0.74214
385.07	 3.17361e+09	 3063	 0.743402
385.32	 3.17376e+09	 3255	 0.742517
385.65	 3.17128e+09	 3414	 0.743584
385.98	 3.17194e+09	 3163	 0.741277
386.4	 3.1739e+09	 3185	 0.742614
386.65	 3.17254e+09	 3080	 0.743894
386.98	 3.17321e+09	 3050	 0.739764
387.23	 3.17364e+09	 3182	 0.742148
387.56	 3.1739e+09	 3247	 0.74243
387.9	 3.17511e+09	 3431	 0.742098
388.14	 3.17412e+09	 2751	 0.743045
388.48	 3.17347e+09	 2975	 0.741865
388.73	 3.17412e+09	 2890	 0.743036
389.06	 3.17565e+09	 2885	 0.741408
389.4	 3.17487e+09	 2925	 0.739903
389.64	 3.17478e+09	 3237	 0.742739
389.98	 3.17387e+09	 2752	 0.741821
390.23	 3.17524e+09	 3202	 0.740816
390.56	 3.17408e+09	 2962	 0.742311
390.89	 3.17467e+09	 2787	 0.742318
