Temperature 	 Sum 	  Maxval 	 R 
420.08	 3.18134e+09	 10656	 1
420.07	 3.18223e+09	 11738	 0.813661
420.05	 3.18169e+09	 11758	 0.817377
419.98	 3.18188e+09	 9986	 0.813306
419.87	 3.18173e+09	 10318	 0.813766
419.77	 3.18133e+09	 12071	 0.818006
419.62	 3.17941e+09	 10799	 0.818451
419.5	 3.18073e+09	 11096	 0.814327
419.32	 3.18052e+09	 11065	 0.818284
419.15	 3.17897e+09	 10871	 0.812169
419.02	 3.17966e+09	 10823	 0.812152
418.85	 3.17946e+09	 10131	 0.814057
418.72	 3.1797e+09	 9716	 0.811696
418.56	 3.182e+09	 10546	 0.81622
418.39	 3.18148e+09	 9059	 0.80664
418.27	 3.18133e+09	 10210	 0.813564
418.11	 3.18164e+09	 10213	 0.812896
417.99	 3.1807e+09	 9350	 0.813713
417.83	 3.18106e+09	 11272	 0.816817
417.66	 3.17964e+09	 11726	 0.81601
417.5	 3.18029e+09	 9350	 0.809669
417.34	 3.18203e+09	 9259	 0.809134
417.22	 3.18022e+09	 9456	 0.804524
417.06	 3.17927e+09	 8962	 0.802811
416.94	 3.18252e+09	 9918	 0.811928
416.79	 3.17945e+09	 10834	 0.813616
416.63	 3.17908e+09	 9544	 0.807233
416.51	 3.17698e+09	 10270	 0.812201
416.36	 3.17776e+09	 10757	 0.81046
416.24	 3.18022e+09	 9784	 0.806455
416.08	 3.17976e+09	 9256	 0.804602
415.92	 3.17968e+09	 10541	 0.810066
415.81	 3.17707e+09	 9124	 0.804196
415.65	 3.17868e+09	 9188	 0.806807
415.54	 3.18111e+09	 9087	 0.800692
415.38	 3.18304e+09	 9993	 0.808334
415.23	 3.18057e+09	 8566	 0.794899
415.11	 3.18211e+09	 8960	 0.796092
414.96	 3.17983e+09	 9779	 0.799224
414.84	 3.18088e+09	 9779	 0.801772
414.69	 3.18124e+09	 9661	 0.802266
414.54	 3.17968e+09	 9356	 0.793031
414.42	 3.17908e+09	 9527	 0.797312
414.27	 3.18008e+09	 9776	 0.801783
414.15	 3.18153e+09	 10107	 0.803521
414	 3.18168e+09	 11488	 0.804632
413.85	 3.18078e+09	 10755	 0.80147
413.73	 3.181e+09	 11011	 0.802098
413.58	 3.18002e+09	 9700	 0.798485
413.47	 3.18139e+09	 9396	 0.790145
413.32	 3.18201e+09	 11327	 0.796967
413.13	 3.18103e+09	 11039	 0.788622
412.98	 3.18407e+09	 10988	 0.800344
412.87	 3.18452e+09	 9969	 0.790445
412.72	 3.18206e+09	 10076	 0.791874
412.57	 3.18321e+09	 9918	 0.789266
412.46	 3.18357e+09	 10450	 0.789642
412.31	 3.18298e+09	 10310	 0.787165
412.2	 3.18279e+09	 9399	 0.789453
412.05	 3.18198e+09	 10097	 0.792405
411.9	 3.18444e+09	 9779	 0.788073
411.79	 3.18352e+09	 10421	 0.785134
411.64	 3.18243e+09	 10847	 0.783893
411.53	 3.18142e+09	 10411	 0.788203
411.39	 3.18076e+09	 10755	 0.792826
411.24	 3.1824e+09	 10741	 0.791437
411.13	 3.18389e+09	 12622	 0.790686
410.99	 3.18362e+09	 9192	 0.78011
410.88	 3.1849e+09	 10801	 0.791356
410.73	 3.18325e+09	 10454	 0.786293
410.58	 3.18036e+09	 9021	 0.778357
410.48	 3.18167e+09	 12103	 0.789068
410.33	 3.18045e+09	 9325	 0.779805
410.22	 3.18284e+09	 10507	 0.781865
410.08	 3.17992e+09	 10272	 0.777895
409.94	 3.17899e+09	 10405	 0.786079
409.83	 3.17866e+09	 10558	 0.782529
409.69	 3.17863e+09	 11563	 0.784738
