Temperature 	 Sum 	  Maxval 	 R 
414.03	 3.1784e+09	 4491	 1
413.88	 3.17738e+09	 4757	 0.753422
413.73	 3.17879e+09	 4947	 0.752468
413.63	 3.17889e+09	 4721	 0.752268
413.48	 3.17928e+09	 4441	 0.754324
413.37	 3.17911e+09	 3978	 0.750745
413.23	 3.18058e+09	 5232	 0.751904
413.07	 3.18087e+09	 4340	 0.752082
412.96	 3.17937e+09	 4452	 0.750958
412.82	 3.18001e+09	 4361	 0.752637
412.71	 3.18058e+09	 4593	 0.750589
412.56	 3.18073e+09	 4701	 0.751643
412.42	 3.18029e+09	 4793	 0.751474
412.31	 3.18046e+09	 4612	 0.749571
412.17	 3.17914e+09	 4393	 0.749722
412.06	 3.1788e+09	 3941	 0.748289
411.92	 3.17928e+09	 4411	 0.7485
411.78	 3.1795e+09	 4592	 0.749503
411.67	 3.17868e+09	 4365	 0.748229
411.52	 3.17938e+09	 4505	 0.748879
411.39	 3.17922e+09	 4145	 0.745875
411.28	 3.17891e+09	 4408	 0.745392
411.14	 3.17765e+09	 4114	 0.746635
411.03	 3.17756e+09	 4675	 0.743604
410.89	 3.17726e+09	 4692	 0.745929
410.78	 3.17753e+09	 4216	 0.743781
410.64	 3.17949e+09	 4653	 0.743285
410.5	 3.17719e+09	 4477	 0.742418
410.4	 3.17912e+09	 4212	 0.744133
410.26	 3.17747e+09	 4635	 0.741141
410.15	 3.17545e+09	 4207	 0.741158
410.02	 3.1777e+09	 4648	 0.742271
409.87	 3.17847e+09	 4719	 0.739401
409.77	 3.17816e+09	 4193	 0.739862
409.63	 3.17656e+09	 4382	 0.740301
409.53	 3.17659e+09	 4658	 0.740055
409.39	 3.17772e+09	 4163	 0.738786
409.25	 3.17826e+09	 4744	 0.738491
409.15	 3.17807e+09	 4170	 0.735654
409.01	 3.17768e+09	 4120	 0.736521
408.87	 3.1792e+09	 4734	 0.736619
408.77	 3.17856e+09	 3698	 0.735738
408.64	 3.17592e+09	 4187	 0.735775
408.53	 3.17799e+09	 4529	 0.733635
408.4	 3.17652e+09	 4353	 0.735345
408.26	 3.17545e+09	 4591	 0.733602
408.16	 3.17528e+09	 4932	 0.735085
408.02	 3.17399e+09	 4043	 0.733452
407.92	 3.17521e+09	 4193	 0.732682
407.79	 3.17538e+09	 4703	 0.734033
407.65	 3.17519e+09	 4452	 0.7346
407.52	 3.17629e+09	 4086	 0.73214
407.39	 3.17752e+09	 4660	 0.72947
407.26	 3.17685e+09	 4211	 0.732173
407.16	 3.17637e+09	 4448	 0.728243
407.02	 3.17524e+09	 4604	 0.729792
406.92	 3.1762e+09	 4464	 0.730233
406.79	 3.17668e+09	 4014	 0.729712
406.66	 3.17831e+09	 3932	 0.728567
406.56	 3.17667e+09	 3704	 0.72788
406.43	 3.17794e+09	 3564	 0.729136
406.3	 3.17361e+09	 3954	 0.72704
406.2	 3.17793e+09	 4109	 0.728278
406.07	 3.17945e+09	 4141	 0.727789
405.98	 3.17836e+09	 3557	 0.724569
405.85	 3.18009e+09	 4115	 0.726672
405.72	 3.17911e+09	 3698	 0.727863
405.62	 3.17688e+09	 3628	 0.725659
405.49	 3.17874e+09	 3781	 0.726685
405.39	 3.17805e+09	 3998	 0.72473
405.27	 3.17555e+09	 3760	 0.728392
405.14	 3.17696e+09	 3855	 0.72646
405.04	 3.17689e+09	 3909	 0.724506
404.92	 3.17659e+09	 3540	 0.726674
404.82	 3.17734e+09	 3566	 0.724801
404.69	 3.17541e+09	 4078	 0.724385
404.57	 3.17636e+09	 3787	 0.72456
404.47	 3.17687e+09	 3615	 0.723136
404.34	 3.17403e+09	 3229	 0.724433
404.25	 3.17753e+09	 3483	 0.724521
404.12	 3.17629e+09	 3782	 0.72427
404	 3.17484e+09	 3520	 0.721923
403.9	 3.17723e+09	 4262	 0.722196
403.78	 3.17734e+09	 3629	 0.721338
403.68	 3.17484e+09	 3361	 0.722755
402.72	 3.17677e+09	 3598	 0.722888
402.6	 3.18063e+09	 3299	 0.722497
402.51	 3.18176e+09	 3568	 0.721451
402.39	 3.1826e+09	 3492	 0.723041
402.29	 3.18272e+09	 3042	 0.719476
402.17	 3.18028e+09	 3104	 0.720925
402.05	 3.17931e+09	 3654	 0.721584
401.96	 3.17756e+09	 3128	 0.722296
401.83	 3.1763e+09	 3040	 0.720963
401.74	 3.17583e+09	 2841	 0.72055
401.62	 3.17637e+09	 3557	 0.721065
401.5	 3.17664e+09	 3299	 0.72086
401.41	 3.17728e+09	 3252	 0.720479
401.29	 3.17639e+09	 3352	 0.721527
401.2	 3.17704e+09	 3006	 0.720233
401.08	 3.17613e+09	 3233	 0.719258
400.96	 3.17624e+09	 3023	 0.719829
400.82	 3.177e+09	 3001	 0.721002
400.72	 3.17661e+09	 3191	 0.719191
400.6	 3.17705e+09	 3060	 0.719438
400.51	 3.17755e+09	 2913	 0.720765
400.39	 3.17899e+09	 3063	 0.720295
400.28	 3.1777e+09	 2928	 0.721652
400.19	 3.17926e+09	 2764	 0.721362
400.07	 3.17787e+09	 3091	 0.71871
399.98	 3.1768e+09	 2742	 0.719642
399.86	 3.17777e+09	 2807	 0.718707
399.75	 3.17714e+09	 2897	 0.720671
399.66	 3.17607e+09	 2776	 0.7213
399.54	 3.17488e+09	 2901	 0.718284
399.45	 3.17503e+09	 2531	 0.721071
399.34	 3.1754e+09	 2828	 0.719435
399.22	 3.17642e+09	 3117	 0.720619
399.14	 3.17749e+09	 3372	 0.72194
399.02	 3.17687e+09	 3224	 0.72002
398.93	 3.17581e+09	 2862	 0.719311
398.82	 3.17683e+09	 3006	 0.720005
398.7	 3.17543e+09	 3307	 0.719743
398.62	 3.17862e+09	 3090	 0.719641
398.5	 3.17846e+09	 2923	 0.718732
398.41	 3.17765e+09	 2892	 0.719607
398.3	 3.17842e+09	 3432	 0.717145
398.19	 3.17372e+09	 2735	 0.721209
398.1	 3.17365e+09	 2817	 0.72017
397.99	 3.17563e+09	 2706	 0.72074
397.9	 3.17653e+09	 3255	 0.719157
397.79	 3.17609e+09	 7571	 0.716868
397.67	 3.1774e+09	 2829	 0.72022
397.59	 3.17677e+09	 3159	 0.719952
397.47	 3.17802e+09	 2883	 0.720332
397.36	 3.17531e+09	 3013	 0.718879
397.28	 3.17482e+09	 3054	 0.721213
397.17	 3.17475e+09	 2859	 0.719533
397.08	 3.17424e+09	 3160	 0.718068
396.97	 3.17286e+09	 2756	 0.71972
396.86	 3.17551e+09	 2921	 0.720198
396.75	 3.17477e+09	 2944	 0.72016
396.66	 3.17524e+09	 3217	 0.718387
396.56	 3.17513e+09	 3332	 0.717983
396.44	 3.17464e+09	 2940	 0.719617
396.36	 3.17477e+09	 2915	 0.719601
396.25	 3.17724e+09	 3372	 0.71775
396.16	 3.17666e+09	 3065	 0.718292
396.05	 3.17803e+09	 3042	 0.720411
395.94	 3.17763e+09	 3507	 0.720035
395.86	 3.17715e+09	 3256	 0.72203
395.75	 3.17871e+09	 3103	 0.721872
395.67	 3.17794e+09	 3205	 0.718691
395.53	 3.17709e+09	 3233	 0.719581
395.42	 3.17673e+09	 3079	 0.719332
395.31	 3.17608e+09	 3142	 0.721318
395.23	 3.17797e+09	 6639	 0.716932
395.12	 3.1794e+09	 2946	 0.719358
395.04	 3.17805e+09	 3100	 0.719691
394.93	 3.17779e+09	 3199	 0.719253
394.82	 3.17661e+09	 3370	 0.720214
394.74	 3.17701e+09	 3292	 0.718776
394.64	 3.17496e+09	 2881	 0.718654
394.56	 3.17432e+09	 3257	 0.71957
394.45	 3.17365e+09	 3291	 0.718094
394.34	 3.17507e+09	 3729	 0.721658
394.26	 3.17553e+09	 3603	 0.720036
394.15	 3.17414e+09	 3413	 0.719258
394.07	 3.17532e+09	 3153	 0.719487
393.97	 3.17654e+09	 3161	 0.7188
393.86	 3.17785e+09	 3064	 0.718924
393.78	 3.17677e+09	 3405	 0.719107
393.68	 3.17608e+09	 2820	 0.719147
393.6	 3.17579e+09	 3192	 0.717363
393.49	 3.17532e+09	 3190	 0.720008
393.38	 3.17593e+09	 3233	 0.717954
