Energy CP 	 ICP 	 Energy CN 	 ICN 	 FCP 	 FCN 	 IXMCD 	 FXMCD 	 IXMCDR 	 FXMCDR 
630.112631	 213610.000000	 629.894167	 0.351487	 0.000000	 0.000000	 213609.648513	 0.000000	 0.999997	 nan
630.367633	 0.337210	 630.144914	 0.344828	 0.000000	 0.000000	 -0.007618	 0.000000	 -0.011169	 nan
630.561650	 0.330993	 630.355577	 0.338105	 0.000000	 0.000000	 -0.007113	 0.000000	 -0.010630	 nan
630.754878	 0.324932	 630.556804	 0.331966	 0.000000	 0.000000	 -0.007034	 0.000000	 -0.010708	 nan
630.947859	 0.318450	 630.745214	 0.326113	 0.000000	 0.000000	 -0.007663	 0.000000	 -0.011889	 nan
631.149733	 0.311604	 630.932464	 0.319571	 0.000000	 0.000000	 -0.007967	 0.000000	 -0.012623	 nan
631.349323	 0.304875	 631.130735	 0.312604	 0.000000	 0.000000	 -0.007729	 0.000000	 -0.012517	 nan
631.544167	 0.298604	 631.329994	 0.306239	 0.000000	 0.000000	 -0.007635	 0.000000	 -0.012623	 nan
631.724461	 0.292552	 631.519545	 0.299942	 0.000000	 0.000000	 -0.007390	 0.000000	 -0.012472	 nan
631.906042	 0.286332	 631.710347	 0.293276	 0.000000	 0.000000	 -0.006943	 0.000000	 -0.011979	 nan
632.087954	 0.279207	 631.911335	 0.286038	 0.000000	 0.000000	 -0.006830	 0.000000	 -0.012084	 nan
632.283112	 0.272305	 632.104104	 0.279392	 0.000000	 0.000000	 -0.007086	 0.000000	 -0.012845	 nan
632.464736	 0.265732	 632.295575	 0.272797	 0.000000	 0.000000	 -0.007065	 0.000000	 -0.013119	 nan
632.648337	 0.258672	 632.474193	 0.266406	 0.000000	 0.000000	 -0.007734	 0.000000	 -0.014730	 nan
632.841780	 0.251026	 632.647063	 0.259288	 0.000000	 0.000000	 -0.008262	 0.000000	 -0.016190	 nan
633.039228	 0.243322	 632.835065	 0.252124	 0.000000	 0.000000	 -0.008802	 0.000000	 -0.017765	 nan
633.230070	 0.236096	 633.026013	 0.244859	 0.000000	 0.000000	 -0.008763	 0.000000	 -0.018219	 nan
633.415164	 0.228745	 633.208060	 0.237908	 0.000000	 0.000000	 -0.009163	 0.000000	 -0.019635	 nan
633.613424	 0.220527	 633.390988	 0.230130	 0.000000	 0.000000	 -0.009603	 0.000000	 -0.021309	 nan
633.820198	 0.212321	 633.591387	 0.222231	 0.000000	 0.000000	 -0.009910	 0.000000	 -0.022805	 nan
634.030088	 0.204537	 633.798283	 0.214518	 0.000000	 0.000000	 -0.009980	 0.000000	 -0.023817	 nan
634.229739	 0.196930	 633.990816	 0.206965	 0.000000	 0.000000	 -0.010035	 0.000000	 -0.024846	 nan
634.431306	 0.189185	 634.185898	 0.199387	 0.000000	 0.000000	 -0.010202	 0.000000	 -0.026255	 nan
634.616498	 0.180924	 634.374806	 0.191051	 0.000000	 0.000000	 -0.010127	 0.000000	 -0.027224	 nan
634.825116	 0.173114	 634.607810	 0.182542	 0.000000	 0.000000	 -0.009428	 0.000000	 -0.026509	 nan
635.024940	 0.165676	 634.822401	 0.174755	 0.000000	 0.000000	 -0.009079	 0.000000	 -0.026669	 nan
635.233501	 0.158529	 635.028483	 0.167026	 0.000000	 0.000000	 -0.008498	 0.000000	 -0.026103	 nan
635.411645	 0.150795	 635.227006	 0.159232	 0.000000	 0.000000	 -0.008437	 0.000000	 -0.027215	 nan
635.621149	 0.143374	 635.425790	 0.151479	 0.000000	 0.000000	 -0.008105	 0.000000	 -0.027489	 nan
635.820639	 0.136795	 635.630507	 0.144279	 0.000000	 0.000000	 -0.007484	 0.000000	 -0.026626	 nan
