Energy LH 	 ILH 	 Energy LV 	 ILV 	 FLH 	 FLV 	 IXMCD 	 FXMCD 	 IXMCDR 	 FXMCDR 
690.162590	 0.045400	 689.913833	 0.034762	 0.000000	 0.000000	 0.010638	 0.000000	 0.132700	 nan
690.386993	 0.045297	 690.155045	 0.034713	 0.000000	 0.000000	 0.010585	 0.000000	 0.132290	 nan
690.559081	 0.045201	 690.333936	 0.034615	 0.000000	 0.000000	 0.010586	 0.000000	 0.132634	 nan
690.729705	 0.045128	 690.511472	 0.034576	 0.000000	 0.000000	 0.010552	 0.000000	 0.132388	 nan
690.901188	 0.044963	 690.677324	 0.034464	 0.000000	 0.000000	 0.010498	 0.000000	 0.132173	 nan
691.076684	 0.044845	 690.846458	 0.034420	 0.000000	 0.000000	 0.010424	 0.000000	 0.131513	 nan
691.262874	 0.044667	 691.018569	 0.034288	 0.000000	 0.000000	 0.010378	 0.000000	 0.131447	 nan
691.456875	 0.044532	 691.201420	 0.034154	 0.000000	 0.000000	 0.010378	 0.000000	 0.131888	 nan
691.641611	 0.044416	 691.394200	 0.034073	 0.000000	 0.000000	 0.010344	 0.000000	 0.131783	 nan
691.828154	 0.044214	 691.576005	 0.033950	 0.000000	 0.000000	 0.010264	 0.000000	 0.131312	 nan
692.013552	 0.044035	 691.763137	 0.033824	 0.000000	 0.000000	 0.010210	 0.000000	 0.131141	 nan
692.218761	 0.043840	 691.952132	 0.033631	 0.000000	 0.000000	 0.010209	 0.000000	 0.131778	 nan
692.424038	 0.043649	 692.154559	 0.033520	 0.000000	 0.000000	 0.010129	 0.000000	 0.131263	 nan
692.617231	 0.043408	 692.355702	 0.033364	 0.000000	 0.000000	 0.010044	 0.000000	 0.130826	 nan
692.799100	 0.043183	 692.547510	 0.033188	 0.000000	 0.000000	 0.009995	 0.000000	 0.130873	 nan
692.989173	 0.042943	 692.738540	 0.032994	 0.000000	 0.000000	 0.009949	 0.000000	 0.131013	 nan
693.193550	 0.042662	 692.921306	 0.032855	 0.000000	 0.000000	 0.009807	 0.000000	 0.129862	 nan
693.395496	 0.042434	 693.119821	 0.032670	 0.000000	 0.000000	 0.009764	 0.000000	 0.130002	 nan
693.582560	 0.042124	 693.315587	 0.032452	 0.000000	 0.000000	 0.009672	 0.000000	 0.129691	 nan
693.766233	 0.041864	 693.510526	 0.032219	 0.000000	 0.000000	 0.009645	 0.000000	 0.130195	 nan
693.948178	 0.041579	 693.705364	 0.032060	 0.000000	 0.000000	 0.009518	 0.000000	 0.129257	 nan
694.152594	 0.041257	 693.880191	 0.031830	 0.000000	 0.000000	 0.009427	 0.000000	 0.128980	 nan
694.352328	 0.040904	 694.078834	 0.031588	 0.000000	 0.000000	 0.009316	 0.000000	 0.128512	 nan
694.545961	 0.040542	 694.278372	 0.031292	 0.000000	 0.000000	 0.009250	 0.000000	 0.128770	 nan
694.726430	 0.040273	 694.475517	 0.031068	 0.000000	 0.000000	 0.009204	 0.000000	 0.129020	 nan
694.900980	 0.039913	 694.666609	 0.030871	 0.000000	 0.000000	 0.009041	 0.000000	 0.127730	 nan
695.082416	 0.039547	 694.835279	 0.030564	 0.000000	 0.000000	 0.008983	 0.000000	 0.128123	 nan
695.261121	 0.039157	 695.005232	 0.030298	 0.000000	 0.000000	 0.008859	 0.000000	 0.127558	 nan
695.440596	 0.038767	 695.185730	 0.030034	 0.000000	 0.000000	 0.008732	 0.000000	 0.126924	 nan
695.621316	 0.038423	 695.381920	 0.029755	 0.000000	 0.000000	 0.008668	 0.000000	 0.127143	 nan
695.799037	 0.037996	 695.548629	 0.029444	 0.000000	 0.000000	 0.008552	 0.000000	 0.126814	 nan
695.982563	 0.037537	 695.728255	 0.029101	 0.000000	 0.000000	 0.008437	 0.000000	 0.126604	 nan
696.162408	 0.037083	 695.905718	 0.028804	 0.000000	 0.000000	 0.008279	 0.000000	 0.125656	 nan
696.346124	 0.036617	 696.088306	 0.028480	 0.000000	 0.000000	 0.008137	 0.000000	 0.125005	 nan
696.536763	 0.036140	 696.281537	 0.028128	 0.000000	 0.000000	 0.008011	 0.000000	 0.124650	 nan
696.726928	 0.035687	 696.453661	 0.027735	 0.000000	 0.000000	 0.007952	 0.000000	 0.125376	 nan
696.920034	 0.035129	 696.646200	 0.027392	 0.000000	 0.000000	 0.007736	 0.000000	 0.123740	 nan
697.121032	 0.034611	 696.832116	 0.027007	 0.000000	 0.000000	 0.007604	 0.000000	 0.123405	 nan
697.326776	 0.034025	 697.033067	 0.026609	 0.000000	 0.000000	 0.007417	 0.000000	 0.122320	 nan
697.534379	 0.033527	 697.254392	 0.026187	 0.000000	 0.000000	 0.007340	 0.000000	 0.122925	 nan
697.734463	 0.032934	 697.442578	 0.025782	 0.000000	 0.000000	 0.007153	 0.000000	 0.121816	 nan
697.933448	 0.032372	 697.648724	 0.025351	 0.000000	 0.000000	 0.007021	 0.000000	 0.121635	 nan
698.130857	 0.031735	 697.865639	 0.024912	 0.000000	 0.000000	 0.006823	 0.000000	 0.120454	 nan
698.336875	 0.031153	 698.045080	 0.024470	 0.000000	 0.000000	 0.006683	 0.000000	 0.120145	 nan
698.543383	 0.030510	 698.267517	 0.023976	 0.000000	 0.000000	 0.006533	 0.000000	 0.119906	 nan
698.737276	 0.029903	 698.452549	 0.023550	 0.000000	 0.000000	 0.006353	 0.000000	 0.118853	 nan
698.923397	 0.029264	 698.656644	 0.023086	 0.000000	 0.000000	 0.006178	 0.000000	 0.118022	 nan
699.116812	 0.028613	 698.850074	 0.022586	 0.000000	 0.000000	 0.006027	 0.000000	 0.117712	 nan
699.316366	 0.027957	 699.031867	 0.022134	 0.000000	 0.000000	 0.005823	 0.000000	 0.116245	 nan
699.521012	 0.027223	 699.248947	 0.021632	 0.000000	 0.000000	 0.005591	 0.000000	 0.114432	 nan
699.720795	 0.026521	 699.433488	 0.021096	 0.000000	 0.000000	 0.005425	 0.000000	 0.113933	 nan
699.907807	 0.025887	 699.637568	 0.020548	 0.000000	 0.000000	 0.005339	 0.000000	 0.114977	 nan
700.088763	 0.025168	 699.832384	 0.020045	 0.000000	 0.000000	 0.005123	 0.000000	 0.113315	 nan
700.277880	 0.024460	 700.013782	 0.019516	 0.000000	 0.000000	 0.004944	 0.000000	 0.112425	 nan
700.461735	 0.023756	 700.207373	 0.019034	 0.000000	 0.000000	 0.004722	 0.000000	 0.110358	 nan
700.639787	 0.023045	 700.380043	 0.018460	 0.000000	 0.000000	 0.004586	 0.000000	 0.110483	 nan
700.809690	 0.022352	 700.565229	 0.017942	 0.000000	 0.000000	 0.004410	 0.000000	 0.109441	 nan
700.983557	 0.021609	 700.740997	 0.017431	 0.000000	 0.000000	 0.004178	 0.000000	 0.107025	 nan
701.176931	 0.020758	 700.910260	 0.016883	 0.000000	 0.000000	 0.003875	 0.000000	 0.102948	 nan
701.373552	 0.019961	 701.106789	 0.016302	 0.000000	 0.000000	 0.003659	 0.000000	 0.100899	 nan
701.566979	 0.019136	 701.291982	 0.015659	 0.000000	 0.000000	 0.003477	 0.000000	 0.099932	 nan
701.755075	 0.018360	 701.491066	 0.015051	 0.000000	 0.000000	 0.003309	 0.000000	 0.099046	 nan
701.942418	 0.017583	 701.685840	 0.014463	 0.000000	 0.000000	 0.003121	 0.000000	 0.097385	 nan
702.130714	 0.016883	 701.873948	 0.013900	 0.000000	 0.000000	 0.002983	 0.000000	 0.096907	 nan
702.318202	 0.016160	 702.072133	 0.013339	 0.000000	 0.000000	 0.002821	 0.000000	 0.095627	 nan
702.504401	 0.015517	 702.249345	 0.012835	 0.000000	 0.000000	 0.002682	 0.000000	 0.094599	 nan
702.701546	 0.014906	 702.442773	 0.012328	 0.000000	 0.000000	 0.002578	 0.000000	 0.094677	 nan
702.887411	 0.014407	 702.637856	 0.011889	 0.000000	 0.000000	 0.002518	 0.000000	 0.095773	 nan
703.075460	 0.013980	 702.829625	 0.011505	 0.000000	 0.000000	 0.002475	 0.000000	 0.097115	 nan
703.276455	 0.013730	 703.012992	 0.011194	 0.000000	 0.000000	 0.002536	 0.000000	 0.101757	 nan
703.479385	 0.013653	 703.209781	 0.010984	 0.000000	 0.000000	 0.002670	 0.000000	 0.108354	 nan
703.685647	 0.013940	 703.412033	 0.010919	 0.000000	 0.000000	 0.003021	 0.000000	 0.121516	 nan
703.892832	 0.014625	 703.609525	 0.011111	 0.000000	 0.000000	 0.003515	 0.000000	 0.136565	 nan
704.084419	 0.015984	 703.812273	 0.011593	 0.000000	 0.000000	 0.004391	 0.000000	 0.159244	 nan
704.288455	 0.018360	 704.029459	 0.012490	 0.000000	 0.000000	 0.005871	 0.000000	 0.190298	 nan
704.503512	 0.022184	 704.210065	 0.014098	 0.000000	 0.000000	 0.008086	 0.000000	 0.222864	 nan
704.712518	 0.028066	 704.422232	 0.016717	 0.000000	 0.000000	 0.011349	 0.000000	 0.253415	 nan
704.905030	 0.037181	 704.635438	 0.020759	 0.000000	 0.000000	 0.016422	 0.000000	 0.283425	 nan
705.098239	 0.052145	 704.832320	 0.026800	 0.000000	 0.000000	 0.025345	 0.000000	 0.321044	 nan
705.298120	 0.076885	 705.040447	 0.036292	 0.000000	 0.000000	 0.040593	 0.000000	 0.358672	 nan
705.492888	 0.112987	 705.217100	 0.052293	 0.000000	 0.000000	 0.060694	 0.000000	 0.367222	 nan
705.683883	 0.155566	 705.417481	 0.077817	 0.000000	 0.000000	 0.077748	 0.000000	 0.333137	 nan
705.876112	 0.196533	 705.615120	 0.111541	 0.000000	 0.000000	 0.084992	 0.000000	 0.275884	 nan
706.058141	 0.234328	 705.811089	 0.147110	 0.000000	 0.000000	 0.087218	 0.000000	 0.228656	 nan
706.228658	 0.266845	 706.006572	 0.180008	 0.000000	 0.000000	 0.086837	 0.000000	 0.194330	 nan
706.421722	 0.286445	 706.162173	 0.208995	 0.000000	 0.000000	 0.077451	 0.000000	 0.156327	 nan
706.615052	 0.287902	 706.349155	 0.230885	 0.000000	 0.000000	 0.057017	 0.000000	 0.109905	 nan
706.811947	 0.278229	 706.540234	 0.240971	 0.000000	 0.000000	 0.037259	 0.000000	 0.071761	 nan
707.001485	 0.266655	 706.743036	 0.242489	 0.000000	 0.000000	 0.024166	 0.000000	 0.047464	 nan
707.184144	 0.252651	 706.948387	 0.240309	 0.000000	 0.000000	 0.012342	 0.000000	 0.025037	 nan
707.386172	 0.231872	 707.119982	 0.236139	 0.000000	 0.000000	 -0.004268	 0.000000	 -0.009119	 nan
707.586689	 0.202040	 707.315805	 0.225455	 0.000000	 0.000000	 -0.023415	 0.000000	 -0.054772	 nan
707.783090	 0.167784	 707.514282	 0.205104	 0.000000	 0.000000	 -0.037320	 0.000000	 -0.100084	 nan
707.983776	 0.136260	 707.718234	 0.175144	 0.000000	 0.000000	 -0.038883	 0.000000	 -0.124865	 nan
708.170410	 0.109824	 707.928811	 0.143296	 0.000000	 0.000000	 -0.033472	 0.000000	 -0.132237	 nan
708.368056	 0.088834	 708.105381	 0.114444	 0.000000	 0.000000	 -0.025610	 0.000000	 -0.125987	 nan
708.579556	 0.073436	 708.301907	 0.090773	 0.000000	 0.000000	 -0.017336	 0.000000	 -0.105576	 nan
708.793301	 0.062210	 708.502344	 0.072774	 0.000000	 0.000000	 -0.010565	 0.000000	 -0.078266	 nan
708.999830	 0.053939	 708.713111	 0.059804	 0.000000	 0.000000	 -0.005865	 0.000000	 -0.051563	 nan
709.199839	 0.047693	 708.940318	 0.050279	 0.000000	 0.000000	 -0.002587	 0.000000	 -0.026401	 nan
709.398871	 0.042507	 709.129522	 0.043460	 0.000000	 0.000000	 -0.000953	 0.000000	 -0.011085	 nan
709.604170	 0.038050	 709.323618	 0.038066	 0.000000	 0.000000	 -0.000016	 0.000000	 -0.000207	 nan
709.819400	 0.034176	 709.527678	 0.033534	 0.000000	 0.000000	 0.000642	 0.000000	 0.009477	 nan
710.029140	 0.031000	 709.735125	 0.029649	 0.000000	 0.000000	 0.001350	 0.000000	 0.022264	 nan
710.234583	 0.028372	 709.967781	 0.026369	 0.000000	 0.000000	 0.002003	 0.000000	 0.036590	 nan
710.431514	 0.026109	 710.161076	 0.023710	 0.000000	 0.000000	 0.002399	 0.000000	 0.048163	 nan
710.631995	 0.024080	 710.355840	 0.021537	 0.000000	 0.000000	 0.002543	 0.000000	 0.055742	 nan
710.835541	 0.022425	 710.557266	 0.019567	 0.000000	 0.000000	 0.002858	 0.000000	 0.068068	 nan
711.032037	 0.021096	 710.758039	 0.017916	 0.000000	 0.000000	 0.003181	 0.000000	 0.081532	 nan
711.226341	 0.020156	 710.980858	 0.016601	 0.000000	 0.000000	 0.003555	 0.000000	 0.096725	 nan
711.415822	 0.019411	 711.158774	 0.015600	 0.000000	 0.000000	 0.003811	 0.000000	 0.108861	 nan
711.595047	 0.018944	 711.341542	 0.014904	 0.000000	 0.000000	 0.004039	 0.000000	 0.119338	 nan
711.800181	 0.018673	 711.529607	 0.014384	 0.000000	 0.000000	 0.004288	 0.000000	 0.129730	 nan
712.001593	 0.018551	 711.724567	 0.014069	 0.000000	 0.000000	 0.004481	 0.000000	 0.137378	 nan
712.196861	 0.018462	 711.944915	 0.013938	 0.000000	 0.000000	 0.004524	 0.000000	 0.139619	 nan
712.386855	 0.018355	 712.126437	 0.013869	 0.000000	 0.000000	 0.004486	 0.000000	 0.139209	 nan
712.571784	 0.018130	 712.314639	 0.013770	 0.000000	 0.000000	 0.004360	 0.000000	 0.136689	 nan
712.771155	 0.017828	 712.499259	 0.013619	 0.000000	 0.000000	 0.004208	 0.000000	 0.133825	 nan
712.969481	 0.017461	 712.701286	 0.013449	 0.000000	 0.000000	 0.004012	 0.000000	 0.129808	 nan
713.170998	 0.017015	 712.897872	 0.013152	 0.000000	 0.000000	 0.003863	 0.000000	 0.128048	 nan
713.377199	 0.016579	 713.098802	 0.012884	 0.000000	 0.000000	 0.003695	 0.000000	 0.125407	 nan
713.572168	 0.016120	 713.300340	 0.012513	 0.000000	 0.000000	 0.003608	 0.000000	 0.126001	 nan
713.771432	 0.015700	 713.501990	 0.012225	 0.000000	 0.000000	 0.003475	 0.000000	 0.124454	 nan
713.980348	 0.015281	 713.700391	 0.011930	 0.000000	 0.000000	 0.003351	 0.000000	 0.123165	 nan
714.188226	 0.014913	 713.903975	 0.011634	 0.000000	 0.000000	 0.003279	 0.000000	 0.123518	 nan
714.399371	 0.014619	 714.113467	 0.011393	 0.000000	 0.000000	 0.003226	 0.000000	 0.124010	 nan
714.597104	 0.014401	 714.320487	 0.011135	 0.000000	 0.000000	 0.003267	 0.000000	 0.127920	 nan
714.798317	 0.014259	 714.524531	 0.010987	 0.000000	 0.000000	 0.003272	 0.000000	 0.129589	 nan
715.016347	 0.014131	 714.719020	 0.010882	 0.000000	 0.000000	 0.003249	 0.000000	 0.129897	 nan
715.227977	 0.014056	 714.930590	 0.010810	 0.000000	 0.000000	 0.003246	 0.000000	 0.130533	 nan
715.432976	 0.014094	 715.146046	 0.010752	 0.000000	 0.000000	 0.003342	 0.000000	 0.134505	 nan
715.635985	 0.014137	 715.360302	 0.010758	 0.000000	 0.000000	 0.003379	 0.000000	 0.135715	 nan
715.838831	 0.014246	 715.565822	 0.010806	 0.000000	 0.000000	 0.003440	 0.000000	 0.137296	 nan
716.037853	 0.014368	 715.753113	 0.010855	 0.000000	 0.000000	 0.003513	 0.000000	 0.139296	 nan
716.242923	 0.014610	 715.957636	 0.010933	 0.000000	 0.000000	 0.003677	 0.000000	 0.143948	 nan
716.448110	 0.014935	 716.164938	 0.011099	 0.000000	 0.000000	 0.003836	 0.000000	 0.147360	 nan
716.640133	 0.015327	 716.370028	 0.011326	 0.000000	 0.000000	 0.004001	 0.000000	 0.150116	 nan
716.832815	 0.015836	 716.570790	 0.011618	 0.000000	 0.000000	 0.004218	 0.000000	 0.153653	 nan
717.023485	 0.016523	 716.758435	 0.011965	 0.000000	 0.000000	 0.004558	 0.000000	 0.159990	 nan
717.227222	 0.017398	 716.947734	 0.012415	 0.000000	 0.000000	 0.004983	 0.000000	 0.167147	 nan
