Temperature 	 Sum 	  Maxval 	 R 
-5	 2.73851e+09	 19916	 1
-5.5	 2.73974e+09	 19917	 0.94791
-6	 2.74083e+09	 22309	 0.953433
-6.5	 2.74066e+09	 23100	 0.952265
-7	 2.74125e+09	 22397	 0.951305
-7.5	 2.74307e+09	 22837	 0.95447
-8	 2.74309e+09	 22768	 0.952947
-8.5	 2.73914e+09	 23046	 0.9504
-9	 2.73842e+09	 23244	 0.951952
-9.5	 2.73765e+09	 22886	 0.95357
-10	 2.73729e+09	 22679	 0.953412
-10.5	 2.74057e+09	 25988	 0.955736
-11	 2.74165e+09	 25048	 0.956724
-11.5	 2.74035e+09	 25380	 0.955391
-12	 2.73962e+09	 26761	 0.958235
-12.5	 2.74223e+09	 26331	 0.954346
-13	 2.74513e+09	 26797	 0.954898
-13.5	 2.74412e+09	 29210	 0.959809
-14	 2.74558e+09	 30309	 0.950057
-14.5	 2.74232e+09	 27447	 0.957032
-15	 2.74263e+09	 28709	 0.960083
-15.5	 2.74498e+09	 30016	 0.960172
-16	 2.74436e+09	 29346	 0.960306
-16.5	 2.74412e+09	 28741	 0.960198
-17	 2.74503e+09	 27896	 0.959371
-17.5	 2.74639e+09	 29904	 0.953504
-18	 2.74704e+09	 30221	 0.960266
-18.5	 2.74499e+09	 30731	 0.960172
-19	 2.7456e+09	 29762	 0.961601
-19	 2.75093e+09	 29878	 0.961072
-18.5	 2.74813e+09	 28926	 0.955675
-18	 2.74764e+09	 31327	 0.956724
-17.5	 2.74503e+09	 28242	 0.960138
-17	 2.74671e+09	 29021	 0.959705
-16.5	 2.74712e+09	 32480	 0.959576
-16	 2.7493e+09	 31670	 0.961632
-15.5	 2.74818e+09	 27751	 0.958893
-15	 2.74812e+09	 29863	 0.959739
-14.5	 2.74693e+09	 28211	 0.959613
-14	 2.74732e+09	 28177	 0.959776
-13.5	 2.74706e+09	 31027	 0.960516
-13	 2.74798e+09	 25333	 0.956552
-12.5	 2.74519e+09	 25871	 0.958312
-12	 2.74329e+09	 24303	 0.953597
-11.5	 2.74292e+09	 23422	 0.951225
-11	 2.74347e+09	 24743	 0.955747
-10.5	 2.74532e+09	 24375	 0.953471
-10	 2.74338e+09	 24305	 0.955216
-9.5	 2.74433e+09	 23947	 0.955304
-9	 2.74389e+09	 23710	 0.953418
-8.5	 2.74437e+09	 22028	 0.953101
-8	 2.74229e+09	 21841	 0.953902
-7.5	 2.74323e+09	 24404	 0.955096
-7	 2.74342e+09	 22851	 0.954073
-6.5	 2.74229e+09	 22169	 0.953074
-6	 2.74272e+09	 22027	 0.953819
-5.5	 2.74079e+09	 21135	 0.951253
-5	 2.74271e+09	 23512	 0.953625
