Temperature 	 Sum 	  Maxval 	 R 
-5	 2.73396e+09	 12016	 1
-5.5	 2.73264e+09	 11556	 0.870174
-6	 2.73532e+09	 11086	 0.870101
-6.5	 2.73334e+09	 11225	 0.868206
-7	 2.73299e+09	 12476	 0.873582
-7.5	 2.73529e+09	 11809	 0.867776
-8	 2.73439e+09	 11748	 0.868622
-8.5	 2.73326e+09	 11555	 0.870736
-9	 2.73354e+09	 10794	 0.870224
-9.5	 2.73109e+09	 10479	 0.86819
-10	 2.73208e+09	 10062	 0.869887
-10.5	 2.73137e+09	 11098	 0.862409
-11	 2.73135e+09	 10150	 0.862731
-11.5	 2.72948e+09	 11089	 0.866998
-12	 2.73321e+09	 10858	 0.861323
-12.5	 2.73345e+09	 10576	 0.871643
-13	 2.73082e+09	 11834	 0.870923
-13.5	 2.72887e+09	 11172	 0.86898
-14	 2.73092e+09	 9958	 0.863509
-14.5	 2.73223e+09	 12017	 0.872462
-15	 2.73386e+09	 11098	 0.870363
-15.5	 2.73046e+09	 10697	 0.86636
-16	 2.72999e+09	 10531	 0.871259
-16.5	 2.73225e+09	 11718	 0.869433
-17	 2.73294e+09	 10937	 0.872062
-17.5	 2.73333e+09	 12266	 0.871292
-18	 2.73354e+09	 11295	 0.87518
-18.5	 2.73492e+09	 11076	 0.869802
-19	 2.73464e+09	 12009	 0.868667
-19	 2.73678e+09	 11491	 0.87324
-18.5	 2.73486e+09	 11464	 0.867834
-18	 2.73511e+09	 11372	 0.868576
-17.5	 2.73682e+09	 11705	 0.867345
-17	 2.73696e+09	 11050	 0.873501
-16.5	 2.73636e+09	 10398	 0.868768
-16	 2.73522e+09	 11769	 0.867785
-15.5	 2.73713e+09	 11087	 0.871899
-15	 2.73633e+09	 11106	 0.864936
-14.5	 2.73408e+09	 11215	 0.871307
-14	 2.73323e+09	 12049	 0.866675
-13.5	 2.73448e+09	 11760	 0.870417
-13	 2.73383e+09	 11359	 0.871315
-12.5	 2.73447e+09	 12183	 0.871987
-12	 2.73146e+09	 11411	 0.871874
-11.5	 2.73295e+09	 10559	 0.866119
-11	 2.73533e+09	 10315	 0.870436
-10.5	 2.73199e+09	 11677	 0.871825
-10	 2.73082e+09	 11647	 0.870051
-9.5	 2.73135e+09	 11648	 0.872624
-9	 2.72908e+09	 11148	 0.868892
-8.5	 2.73085e+09	 10933	 0.869221
-8	 2.73389e+09	 11276	 0.871979
-7.5	 2.73337e+09	 11156	 0.872168
-7	 2.73182e+09	 11121	 0.867697
-6.5	 2.73109e+09	 10859	 0.869421
-6	 2.73291e+09	 11755	 0.868057
-5.5	 2.73388e+09	 11673	 0.87157
-5	 2.73365e+09	 10967	 0.86678
