Temperature 	 Sum 	  Maxval 	 R 
-5	 2.74275e+09	 31766	 1
-5.5	 2.74394e+09	 30222	 0.971499
-6	 2.7425e+09	 32171	 0.97424
-6.5	 2.74284e+09	 31006	 0.974043
-7	 2.7403e+09	 31569	 0.974057
-7.5	 2.74179e+09	 29757	 0.963532
-8	 2.74046e+09	 30869	 0.969311
-8.5	 2.73957e+09	 33430	 0.974747
-9	 2.74238e+09	 31788	 0.973238
-9.5	 2.74109e+09	 30990	 0.974283
-10	 2.74548e+09	 32893	 0.97486
-10.5	 2.74457e+09	 33284	 0.97407
-11	 2.74424e+09	 33343	 0.974111
-11.5	 2.74087e+09	 30431	 0.97128
-12	 2.74064e+09	 31578	 0.973611
-12.5	 2.74219e+09	 29993	 0.973445
-13	 2.73941e+09	 27575	 0.969649
-13.5	 2.73905e+09	 28656	 0.970831
-14	 2.73564e+09	 25435	 0.96911
-14.5	 2.73568e+09	 26192	 0.968597
-15	 2.73665e+09	 26684	 0.971109
-15.5	 2.73903e+09	 26840	 0.969697
-16	 2.73686e+09	 23813	 0.962523
-16.5	 2.73696e+09	 23797	 0.968717
-17	 2.73848e+09	 23791	 0.968419
-17.5	 2.73639e+09	 23978	 0.966067
-18	 2.7362e+09	 24681	 0.967958
-18.5	 2.73781e+09	 26089	 0.966715
-19	 2.73842e+09	 25034	 0.969396
-19	 2.74165e+09	 25561	 0.969533
-18.5	 2.74132e+09	 26064	 0.969562
-18	 2.74124e+09	 24907	 0.965367
-17.5	 2.74069e+09	 24971	 0.967764
-17	 2.74062e+09	 24384	 0.965699
-16.5	 2.73756e+09	 25965	 0.969095
-16	 2.73775e+09	 24288	 0.963878
-15.5	 2.74229e+09	 25594	 0.959342
-15	 2.74404e+09	 27959	 0.969984
-14.5	 2.74124e+09	 28153	 0.969621
-14	 2.74279e+09	 25435	 0.95807
-13.5	 2.74e+09	 26071	 0.967642
-13	 2.74228e+09	 28647	 0.971368
-12.5	 2.74342e+09	 29072	 0.972797
-12	 2.74528e+09	 28355	 0.965485
-11.5	 2.74403e+09	 30119	 0.974061
-11	 2.74171e+09	 30941	 0.972996
-10.5	 2.73961e+09	 30736	 0.970579
-10	 2.74217e+09	 33211	 0.975276
-9.5	 2.74366e+09	 33124	 0.975577
-9	 2.7394e+09	 30807	 0.973878
-8.5	 2.74244e+09	 31645	 0.973822
-8	 2.74223e+09	 32041	 0.974698
-7.5	 2.746e+09	 31352	 0.972217
-7	 2.741e+09	 32388	 0.974229
-6.5	 2.74054e+09	 31027	 0.971428
-6	 2.74343e+09	 33355	 0.9701
-5.5	 2.739e+09	 33224	 0.974976
-5	 2.74181e+09	 34289	 0.97296
