Temperature 	 Sum 	  Maxval 	 R 
-5	 2.73632e+09	 10811	 1
-5.5	 2.73683e+09	 12475	 0.879204
-6	 2.73995e+09	 16470	 0.893919
-6.5	 2.74019e+09	 19132	 0.903612
-7	 2.74065e+09	 17516	 0.901637
-7.5	 2.7423e+09	 18321	 0.901177
-8	 2.74001e+09	 17165	 0.89979
-8.5	 2.74151e+09	 18661	 0.900497
-9	 2.7399e+09	 19044	 0.903854
-9.5	 2.74349e+09	 20072	 0.900869
-10	 2.74397e+09	 19547	 0.90418
-10.5	 2.74494e+09	 20020	 0.903443
-11	 2.74476e+09	 18697	 0.900539
-11.5	 2.74189e+09	 18559	 0.903384
-12	 2.74037e+09	 17751	 0.902911
-12.5	 2.73841e+09	 19863	 0.902663
-13	 2.73928e+09	 18840	 0.902426
-13.5	 2.73846e+09	 19566	 0.904071
-14	 2.7385e+09	 20164	 0.904619
-14.5	 2.73932e+09	 17994	 0.901734
-15	 2.74105e+09	 19260	 0.90205
-15.5	 2.74102e+09	 19167	 0.903403
-16	 2.73877e+09	 19537	 0.904294
-16.5	 2.73909e+09	 18954	 0.903676
-17	 2.73859e+09	 20434	 0.903036
-17.5	 2.73868e+09	 19249	 0.903933
-18	 2.73984e+09	 19114	 0.903031
-18.5	 2.73795e+09	 19589	 0.903184
-19	 2.73933e+09	 19098	 0.902942
-19	 2.74249e+09	 20322	 0.904085
-18.5	 2.74314e+09	 21873	 0.90697
-18	 2.74423e+09	 19820	 0.906185
-17.5	 2.74381e+09	 18783	 0.900541
-17	 2.74184e+09	 19379	 0.90381
-16.5	 2.74501e+09	 19235	 0.902023
-16	 2.74409e+09	 19304	 0.904283
-15.5	 2.74362e+09	 20389	 0.903143
-15	 2.7429e+09	 18944	 0.901089
-14.5	 2.74199e+09	 20154	 0.905298
-14	 2.74019e+09	 18631	 0.902171
-13.5	 2.74475e+09	 19119	 0.901169
-13	 2.74677e+09	 19859	 0.90528
-12.5	 2.74693e+09	 18372	 0.90065
-12	 2.74414e+09	 19486	 0.90193
-11.5	 2.74437e+09	 18529	 0.903949
-11	 2.74521e+09	 18297	 0.90187
-10.5	 2.74543e+09	 21045	 0.90531
-10	 2.74304e+09	 19058	 0.903091
-9.5	 2.74251e+09	 19409	 0.904309
-9	 2.74255e+09	 20521	 0.905858
-8.5	 2.74263e+09	 18973	 0.904123
-8	 2.74541e+09	 19835	 0.905072
-7.5	 2.74401e+09	 20001	 0.904034
-7	 2.746e+09	 20453	 0.90392
-6.5	 2.74442e+09	 18624	 0.905278
-6	 2.74561e+09	 18930	 0.901885
-5.5	 2.74432e+09	 20492	 0.898633
-5	 2.74365e+09	 18687	 0.901759
