Temperature 	 Sum 	  Maxval 	 R 
-5	 2.74026e+09	 8369	 1
-5.5	 2.74008e+09	 9109	 0.803266
-6	 2.73906e+09	 8337	 0.785568
-6.5	 2.73878e+09	 8673	 0.793344
-7	 2.73559e+09	 7156	 0.787079
-7.5	 2.7356e+09	 6989	 0.784574
-8	 2.73697e+09	 8581	 0.79208
-8.5	 2.73687e+09	 8893	 0.793329
-9	 2.7369e+09	 7621	 0.783696
-9.5	 2.73776e+09	 7783	 0.782279
-10	 2.74007e+09	 7208	 0.777917
-10.5	 2.73985e+09	 7350	 0.775924
-11	 2.73944e+09	 9065	 0.791651
-11.5	 2.73947e+09	 7656	 0.775429
-12	 2.73836e+09	 7801	 0.786345
-12.5	 2.7389e+09	 7471	 0.776742
-13	 2.74075e+09	 7909	 0.780506
-13.5	 2.74187e+09	 7100	 0.769014
-14	 2.74085e+09	 7508	 0.776135
-14.5	 2.74129e+09	 7448	 0.782137
-15	 2.7425e+09	 7913	 0.779926
-15.5	 2.74078e+09	 7577	 0.77916
-16	 2.73862e+09	 7454	 0.771899
-16.5	 2.74096e+09	 8249	 0.791232
-17	 2.74174e+09	 7061	 0.776047
-17.5	 2.73701e+09	 7302	 0.783675
-18	 2.73799e+09	 7777	 0.783112
-18.5	 2.73928e+09	 8251	 0.787766
-19	 2.73789e+09	 8889	 0.789574
-19	 2.73805e+09	 8003	 0.788657
-18.5	 2.74035e+09	 8113	 0.788365
-18	 2.73853e+09	 8178	 0.792627
-17.5	 2.73603e+09	 8301	 0.779433
-17	 2.73732e+09	 7456	 0.779484
-16.5	 2.7368e+09	 7552	 0.782143
-16	 2.73513e+09	 8206	 0.771515
-15.5	 2.73446e+09	 7308	 0.778356
-15	 2.73384e+09	 7581	 0.779965
-14.5	 2.7359e+09	 7761	 0.777065
-14	 2.73609e+09	 7389	 0.783611
-13.5	 2.73254e+09	 7145	 0.771394
-13	 2.73473e+09	 7910	 0.781337
-12.5	 2.73519e+09	 7733	 0.781757
-12	 2.73353e+09	 7712	 0.775677
-11.5	 2.73481e+09	 6882	 0.765424
-11	 2.73397e+09	 7242	 0.784105
-10.5	 2.73473e+09	 7515	 0.77713
-10	 2.73304e+09	 7996	 0.784879
-9.5	 2.73411e+09	 6544	 0.763915
-9	 2.73354e+09	 7567	 0.781382
-8.5	 2.73402e+09	 7268	 0.780882
-8	 2.73477e+09	 8177	 0.774251
-7.5	 2.73326e+09	 7375	 0.779068
-7	 2.73301e+09	 7508	 0.773565
-6.5	 2.73575e+09	 7367	 0.781171
-6	 2.739e+09	 8097	 0.791719
-5.5	 2.7373e+09	 8293	 0.788615
-5	 2.73797e+09	 7430	 0.787258
-5	 2.74826e+09	 16171	 0.841485
-5.5	 2.74635e+09	 17744	 0.843437
-6	 2.74799e+09	 18059	 0.845684
-6.5	 2.7486e+09	 17654	 0.845744
-7	 2.74724e+09	 18360	 0.847763
-7.5	 2.74098e+09	 19044	 0.844089
-8	 2.7441e+09	 17398	 0.840302
-8.5	 2.74346e+09	 17429	 0.837045
-9	 2.74129e+09	 20142	 0.842507
-9.5	 2.74072e+09	 17576	 0.846614
-10	 2.74329e+09	 17621	 0.840902
-10.5	 2.74417e+09	 18661	 0.846749
-11	 2.74454e+09	 18610	 0.846417
-11.5	 2.7464e+09	 20856	 0.847829
-12	 2.74363e+09	 17621	 0.844487
-12.5	 2.74484e+09	 16863	 0.841057
-13	 2.74402e+09	 18670	 0.844998
-13.5	 2.7435e+09	 19023	 0.844991
-14	 2.74322e+09	 17498	 0.845992
-14.5	 2.74428e+09	 18825	 0.846873
-15	 2.74354e+09	 17765	 0.844283
-15.5	 2.74279e+09	 18912	 0.839541
-16	 2.74196e+09	 20007	 0.841037
-16.5	 2.74523e+09	 19154	 0.842604
-17	 2.74767e+09	 17736	 0.846935
-17.5	 2.7435e+09	 18512	 0.84494
-18	 2.74239e+09	 18769	 0.848737
-18.5	 2.74216e+09	 19012	 0.847894
-19	 2.74321e+09	 19631	 0.84763
-19	 2.74555e+09	 18897	 0.845185
-18.5	 2.74841e+09	 18751	 0.846723
-18	 2.74905e+09	 18773	 0.846637
-17.5	 2.75003e+09	 21116	 0.849289
-17	 2.74799e+09	 19954	 0.843959
-16.5	 2.74595e+09	 18294	 0.837864
-16	 2.7471e+09	 20344	 0.841088
-15.5	 2.74807e+09	 19475	 0.844721
-15	 2.7482e+09	 19501	 0.848308
-14.5	 2.74906e+09	 20218	 0.851336
-14	 2.74448e+09	 22922	 0.845702
-13.5	 2.74736e+09	 19360	 0.847947
-13	 2.74778e+09	 20338	 0.849464
-12.5	 2.74592e+09	 18888	 0.846329
-12	 2.7468e+09	 18700	 0.846122
-11.5	 2.74571e+09	 18193	 0.84417
-11	 2.74743e+09	 18894	 0.846315
-10.5	 2.74763e+09	 19851	 0.847699
-10	 2.74698e+09	 20148	 0.847898
-9.5	 2.74632e+09	 18677	 0.845799
-9	 2.7467e+09	 18734	 0.844231
-8.5	 2.74432e+09	 19560	 0.850342
-8	 2.74636e+09	 20193	 0.846623
-7.5	 2.74625e+09	 18146	 0.843725
-7	 2.7446e+09	 18898	 0.846939
-6.5	 2.74552e+09	 19748	 0.847225
-6	 2.74767e+09	 19589	 0.84945
-5.5	 2.74635e+09	 19110	 0.847016
-5	 2.74556e+09	 18513	 0.845655
-5	 2.74177e+09	 8301	 0.797754
-5.5	 2.74201e+09	 7949	 0.797964
-6	 2.74166e+09	 8163	 0.789154
-6.5	 2.74443e+09	 7681	 0.769955
-7	 2.74261e+09	 6469	 0.764094
-7.5	 2.73992e+09	 7314	 0.768969
-8	 2.73904e+09	 6939	 0.759596
-8.5	 2.74231e+09	 6945	 0.755364
-9	 2.73862e+09	 6659	 0.763167
-9.5	 2.73927e+09	 6809	 0.754865
-10	 2.7366e+09	 6815	 0.765274
-10.5	 2.74066e+09	 7285	 0.764904
-11	 2.74033e+09	 6674	 0.768263
-11.5	 2.73757e+09	 8149	 0.771574
-12	 2.73954e+09	 6571	 0.773233
-12.5	 2.73983e+09	 6053	 0.75443
-13	 2.7415e+09	 7980	 0.779767
-13.5	 2.74001e+09	 7098	 0.77026
-14	 2.74301e+09	 6660	 0.773011
-14.5	 2.74252e+09	 7232	 0.771537
-15	 2.74295e+09	 7354	 0.764478
-15.5	 2.74343e+09	 7280	 0.77321
-16	 2.74415e+09	 7067	 0.773039
-16.5	 2.74412e+09	 6720	 0.7635
-17	 2.74327e+09	 6745	 0.764662
-17.5	 2.74431e+09	 7188	 0.772539
-18	 2.74546e+09	 7265	 0.771197
-18.5	 2.74572e+09	 7002	 0.769148
-19	 2.74334e+09	 7178	 0.764888
-19	 2.74428e+09	 7026	 0.766248
-18.5	 2.74548e+09	 6388	 0.765
-18	 2.74428e+09	 6343	 0.771585
-17.5	 2.74529e+09	 6583	 0.762351
-17	 2.7451e+09	 6808	 0.763846
-16.5	 2.74539e+09	 7390	 0.757373
-16	 2.745e+09	 6775	 0.760747
-15.5	 2.74498e+09	 7138	 0.772442
-15	 2.74281e+09	 7468	 0.772124
-14.5	 2.7437e+09	 7135	 0.769455
-14	 2.74419e+09	 6975	 0.766345
-13.5	 2.7398e+09	 6975	 0.765938
-13	 2.74207e+09	 6429	 0.756189
-12.5	 2.74302e+09	 6687	 0.771497
-12	 2.74222e+09	 6746	 0.764269
-11.5	 2.74506e+09	 6551	 0.758242
