Temperature 	 Sum 	  Maxval 	 R 
-5	 2.74826e+09	 16171	 1
-5.5	 2.74635e+09	 17744	 0.93316
-6	 2.74799e+09	 18059	 0.933645
-6.5	 2.7486e+09	 17654	 0.935072
-7	 2.74724e+09	 18360	 0.935713
-7.5	 2.74098e+09	 19044	 0.936117
-8	 2.7441e+09	 17398	 0.931162
-8.5	 2.74346e+09	 17429	 0.927831
-9	 2.74129e+09	 20142	 0.935631
-9.5	 2.74072e+09	 17576	 0.933984
-10	 2.74329e+09	 17621	 0.931846
-10.5	 2.74417e+09	 18661	 0.936928
-11	 2.74454e+09	 18610	 0.936353
-11.5	 2.7464e+09	 20856	 0.938185
-12	 2.74363e+09	 17621	 0.934357
-12.5	 2.74484e+09	 16863	 0.931414
-13	 2.74402e+09	 18670	 0.935259
-13.5	 2.7435e+09	 19023	 0.934975
-14	 2.74322e+09	 17498	 0.935839
-14.5	 2.74428e+09	 18825	 0.937641
-15	 2.74354e+09	 17765	 0.933906
-15.5	 2.74279e+09	 18912	 0.931232
-16	 2.74196e+09	 20007	 0.933121
-16.5	 2.74523e+09	 19154	 0.933473
-17	 2.74767e+09	 17736	 0.937117
-17.5	 2.7435e+09	 18512	 0.936958
-18	 2.74239e+09	 18769	 0.937866
-18.5	 2.74216e+09	 19012	 0.936984
-19	 2.74321e+09	 19631	 0.936392
-19	 2.74555e+09	 18897	 0.936827
-18.5	 2.74841e+09	 18751	 0.937499
-18	 2.74905e+09	 18773	 0.938696
-17.5	 2.75003e+09	 21116	 0.93995
-17	 2.74799e+09	 19954	 0.933838
-16.5	 2.74595e+09	 18294	 0.928507
-16	 2.7471e+09	 20344	 0.931858
-15.5	 2.74807e+09	 19475	 0.936729
-15	 2.7482e+09	 19501	 0.934814
-14.5	 2.74906e+09	 20218	 0.935409
-14	 2.74448e+09	 22922	 0.938433
-13.5	 2.74736e+09	 19360	 0.937719
-13	 2.74778e+09	 20338	 0.939068
-12.5	 2.74592e+09	 18888	 0.936383
-12	 2.7468e+09	 18700	 0.936855
-11.5	 2.74571e+09	 18193	 0.935602
-11	 2.74743e+09	 18894	 0.937085
-10.5	 2.74763e+09	 19851	 0.937459
-10	 2.74698e+09	 20148	 0.935437
-9.5	 2.74632e+09	 18677	 0.933126
-9	 2.7467e+09	 18734	 0.935519
-8.5	 2.74432e+09	 19560	 0.936998
-8	 2.74636e+09	 20193	 0.934386
-7.5	 2.74625e+09	 18146	 0.934206
-7	 2.7446e+09	 18898	 0.936882
-6.5	 2.74552e+09	 19748	 0.93658
-6	 2.74767e+09	 19589	 0.939744
-5.5	 2.74635e+09	 19110	 0.937285
-5	 2.74556e+09	 18513	 0.934097
