Temperature 	 Sum 	  Maxval 	 R 
-5	 2.74177e+09	 8301	 1
-5.5	 2.74201e+09	 7949	 0.790547
-6	 2.74166e+09	 8163	 0.777091
-6.5	 2.74443e+09	 7681	 0.760999
-7	 2.74261e+09	 6469	 0.756288
-7.5	 2.73992e+09	 7314	 0.76173
-8	 2.73904e+09	 6939	 0.750207
-8.5	 2.74231e+09	 6945	 0.747454
-9	 2.73862e+09	 6659	 0.753705
-9.5	 2.73927e+09	 6809	 0.747185
-10	 2.7366e+09	 6815	 0.758391
-10.5	 2.74066e+09	 7285	 0.758391
-11	 2.74033e+09	 6674	 0.760399
-11.5	 2.73757e+09	 8149	 0.765104
-12	 2.73954e+09	 6571	 0.765386
-12.5	 2.73983e+09	 6053	 0.744418
-13	 2.7415e+09	 7980	 0.770523
-13.5	 2.74001e+09	 7098	 0.759115
-14	 2.74301e+09	 6660	 0.763006
-14.5	 2.74252e+09	 7232	 0.762262
-15	 2.74295e+09	 7354	 0.75564
-15.5	 2.74343e+09	 7280	 0.764281
-16	 2.74415e+09	 7067	 0.763203
-16.5	 2.74412e+09	 6720	 0.757622
-17	 2.74327e+09	 6745	 0.759142
-17.5	 2.74431e+09	 7188	 0.763501
-18	 2.74546e+09	 7265	 0.762698
-18.5	 2.74572e+09	 7002	 0.761405
-19	 2.74334e+09	 7178	 0.757088
-19	 2.74428e+09	 7026	 0.759082
-18.5	 2.74548e+09	 6388	 0.758397
-18	 2.74428e+09	 6343	 0.764768
-17.5	 2.74529e+09	 6583	 0.755214
-17	 2.7451e+09	 6808	 0.755475
-16.5	 2.74539e+09	 7390	 0.746653
-16	 2.745e+09	 6775	 0.751132
-15.5	 2.74498e+09	 7138	 0.765978
-15	 2.74281e+09	 7468	 0.766231
-14.5	 2.7437e+09	 7135	 0.762343
-14	 2.74419e+09	 6975	 0.758375
-13.5	 2.7398e+09	 6975	 0.757371
-13	 2.74207e+09	 6429	 0.750923
-12.5	 2.74302e+09	 6687	 0.762428
-12	 2.74222e+09	 6746	 0.75554
-11.5	 2.74506e+09	 6551	 0.751462
-11	 2.74566e+09	 6720	 0.75547
-10.5	 2.7468e+09	 6397	 0.755071
-10	 2.74578e+09	 6990	 0.756025
-9.5	 2.74301e+09	 6607	 0.743941
-9	 2.74272e+09	 6003	 0.737517
-8.5	 2.744e+09	 6692	 0.750853
-8	 2.74297e+09	 6234	 0.742392
-7.5	 2.74444e+09	 6195	 0.751583
-7	 2.74323e+09	 6302	 0.74376
-6.5	 2.74868e+09	 5846	 0.730824
-6	 2.74582e+09	 7057	 0.752177
-5.5	 2.7457e+09	 6943	 0.745899
-5	 2.7462e+09	 7103	 0.746754
