Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
5.34655e-07	 6.047e-12	 6.1676e-12	 5.5307e-12	 5.2194e-12	 -1.206e-13	 -0.00987343
0.00125092	 9.5122e-14	 9.6005e-14	 8.8281e-14	 7.707e-14	 -8.83e-16	 -0.00461996
0.00250128	 2.1862e-13	 2.185e-13	 1.8993e-13	 1.7687e-13	 1.2e-16	 0.000274524
0.00375163	 3.3696e-13	 3.4005e-13	 3.2335e-13	 2.6325e-13	 -3.09e-15	 -0.00456419
0.00500197	 4.1355e-13	 4.2317e-13	 3.8592e-13	 3.2315e-13	 -9.62e-15	 -0.0114973
0.00625236	 4.9082e-13	 5.0093e-13	 4.5544e-13	 3.7912e-13	 -1.011e-14	 -0.0101941
0.00750266	 5.7272e-13	 5.802e-13	 4.8016e-13	 4.297e-13	 -7.48e-15	 -0.00648787
0.00875294	 5.102e-13	 5.0995e-13	 6.0432e-13	 4.2073e-13	 2.5e-16	 0.000245062
0.0100032	 6.8264e-13	 6.9247e-13	 6.1582e-13	 4.9185e-13	 -9.83e-15	 -0.00714852
0.0112534	 7.4205e-13	 7.5348e-13	 6.7623e-13	 5.2947e-13	 -1.143e-14	 -0.00764278
0.0125036	 8.3472e-13	 8.321e-13	 7.5553e-13	 5.8322e-13	 2.62e-15	 0.00157186
0.0137538	 9.2703e-13	 9.1496e-13	 8.3842e-13	 6.3611e-13	 1.207e-14	 0.0065527
0.0150039	 1.0897e-12	 1.0737e-12	 7.5791e-13	 7.2956e-13	 1.6e-14	 0.00739577
0.0162539	 1.0951e-12	 1.0853e-12	 9.7327e-13	 7.5203e-13	 9.8e-15	 0.00449459
0.017504	 1.1511e-12	 1.1324e-12	 1.0187e-12	 7.7886e-13	 1.87e-14	 0.00818918
0.0187539	 1.2156e-12	 1.1964e-12	 1.0736e-12	 8.0707e-13	 1.92e-14	 0.0079602
0.0200038	 1.1833e-12	 1.1861e-12	 1.1674e-12	 8.594e-13	 -2.8e-15	 -0.00118173
0.0212537	 1.5418e-12	 1.5292e-12	 1.3551e-12	 7.9732e-13	 1.26e-14	 0.0041029
0.0225034	 1.5692e-12	 1.5615e-12	 1.3841e-12	 1.0216e-12	 7.7e-15	 0.00245951
0.0237532	 1.6515e-12	 1.644e-12	 1.4584e-12	 1.0816e-12	 7.5e-15	 0.00227583
0.0250028	 1.7527e-12	 1.7291e-12	 1.5415e-12	 1.1609e-12	 2.36e-14	 0.0067781
0.0262524	 1.853e-12	 1.8243e-12	 1.6207e-12	 1.2112e-12	 2.87e-14	 0.00780464
0.0275018	 2.0841e-12	 2.0554e-12	 1.7944e-12	 1.3213e-12	 2.87e-14	 0.0069332
0.0287512	 2.0674e-12	 2.0311e-12	 1.7631e-12	 1.2823e-12	 3.63e-14	 0.0088569
0.0300005	 2.1341e-12	 2.0923e-12	 1.8125e-12	 1.2996e-12	 4.18e-14	 0.00989021
0.0312498	 2.2319e-12	 2.184e-12	 1.8864e-12	 1.3482e-12	 4.79e-14	 0.0108472
0.0324989	 2.3816e-12	 2.3537e-12	 1.8539e-12	 1.4315e-12	 2.79e-14	 0.00589192
0.0337479	 2.7078e-12	 2.6637e-12	 2.2641e-12	 1.6249e-12	 4.41e-14	 0.00821
0.0349968	 2.7134e-12	 2.6472e-12	 2.2456e-12	 1.6072e-12	 6.62e-14	 0.0123494
0.0362456	 2.7674e-12	 2.7484e-12	 2.2834e-12	 1.6432e-12	 1.9e-14	 0.00344465
0.0374944	 3.0705e-12	 3.0584e-12	 2.7561e-12	 1.7922e-12	 1.21e-14	 0.00197425
0.0387429	 3.4241e-12	 3.4088e-12	 2.9585e-12	 2.0278e-12	 1.53e-14	 0.00223917
0.0399914	 3.7653e-12	 3.8283e-12	 3.3153e-12	 2.2373e-12	 -6.3e-14	 -0.00829646
0.0412398	 3.6851e-12	 3.7249e-12	 3.1999e-12	 2.2215e-12	 -3.98e-14	 -0.00537112
0.042488	 3.696e-12	 3.7257e-12	 3.224e-12	 2.2492e-12	 -2.97e-14	 -0.00400178
0.0437361	 3.6946e-12	 3.7601e-12	 3.2733e-12	 2.3116e-12	 -6.55e-14	 -0.0087864
0.044984	 3.7246e-12	 3.8276e-12	 3.3156e-12	 2.3653e-12	 -1.03e-13	 -0.0136384
0.0462319	 3.8367e-12	 3.9622e-12	 3.3971e-12	 2.49e-12	 -1.255e-13	 -0.016092
0.0474796	 3.3698e-12	 3.8127e-12	 3.2893e-12	 2.3941e-12	 -4.429e-13	 -0.0616638
0.0487271	 3.7009e-12	 3.7668e-12	 3.2538e-12	 2.3858e-12	 -6.59e-14	 -0.00882467
0.0499745	 3.689e-12	 3.7223e-12	 3.2481e-12	 2.29e-12	 -3.33e-14	 -0.00449314
0.0512217	 3.6784e-12	 3.7127e-12	 3.226e-12	 2.3098e-12	 -3.43e-14	 -0.00464072
