field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-100 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-99 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-98 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-97 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-96 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-95 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-94 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-93 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-92 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-91 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-90 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-89 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-88 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-87 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-86 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-85 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-84 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-83 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-82 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-81 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-80 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-79 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-78 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-77 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-76 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-75 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-74 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-73 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-72 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-71 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-70 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-69 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-68 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-67 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-66 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-65 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-64 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-63 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-62 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-61 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-60 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-59 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
-58 , 8.856771e-06 , 3.6355355e-05, 5.8749886e-10 , 8.8561835e-06 , 3.6354469e-05,, 8.8566095e-10 , -1.0454477e-07 , 2.2553791e-05 , 2.2658335e-05 
