field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-100 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-99 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-98 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-97 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-96 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-95 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-94 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-93 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-92 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-91 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-90 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-89 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-88 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-87 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-86 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-85 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-84 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-83 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-82 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-81 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-80 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-79 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-78 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-77 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-76 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-75 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-74 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-73 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-72 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-71 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-70 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-69 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-68 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
-67 , 8.7678864e-06 , 3.6355207e-05, 4.7655595e-10 , 8.7674098e-06 , 3.6354474e-05,, 7.3322699e-10 , -3.4480625e-08 , 2.2544306e-05 , 2.2578787e-05 
