field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-100 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-99 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-98 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-97 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-96 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-95 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-94 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-93 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-92 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-91 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-90 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-89 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-88 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-87 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-86 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-85 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-84 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-83 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-82 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-81 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-80 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-79 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-78 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
-77 , 5.9614541e-07 , 2.1225142e-05, 4.6355185e-09 , 5.9150989e-07 , 2.1220426e-05,, 4.7156784e-09 , 5.1815389e-07 , 1.1169721e-05 , 1.0651567e-05 
